Fiyat;Seri;Yıl;Kilometre;Vites;Yakıt;Renk;Motor Hacmi;Motor Gücü;Kasa Tipi;Log_Fiyat;Boya;Değişen;Marka_Audi;Marka_BMW;Marka_Chevrolet;Marka_Citroen;Marka_Fiat;Marka_Ford;Marka_Honda;Marka_Hyundai;Marka_Mercedes - Benz;Marka_Opel;Marka_Peugeot;Marka_Renault;Marka_Skoda;Marka_Toyota;Marka_Volkswagen
1205000.0;861580.0;2017.0;149000;1;0;2;1300.5;113.0;8;14.001990954782066;0;0;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True
1680000.0;1383730.0;2016.0;72440;1;0;2;1300.5;113.0;8;14.33430494661736;5;3;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True
1600000.0;1383730.0;2016.0;203000;1;1;2;1598.0;120.0;8;14.285514812209817;0;0;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True
529000.0;1280278.5714285714;2004.0;262000;0;0;2;1598.0;115.0;4;13.178745601197818;0;0;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True
325000.0;1383730.0;1998.0;371000;0;1;2;1781.0;125.0;8;12.691583538230216;12;1;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True
850000.0;861580.0;2011.0;200550;2;1;2;1598.0;105.0;8;13.652992804936396;3;1;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True
1035000.0;861580.0;2016.0;177000;1;0;2;1395.0;125.0;8;13.849912950864717;2;2;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True
1525000.0;1383730.0;2015.0;164000;1;1;2;1500.5;113.0;8;14.23750562376114;0;0;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True
1200000.0;1280278.5714285714;2013.0;168000;1;0;2;1395.0;122.0;4;13.997832948091215;0;0;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True
199750.0;829838.5428571429;1997.0;94000;0;1;2;1595.0;100.0;8;12.204826869873813;0;0;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True
1250000.0;829838.5428571429;2021.0;103000;1;0;2;999.0;95.0;4;14.038654909278163;0;0;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True
785000.0;861580.0;2011.0;277000;2;1;2;1500.5;113.0;8;13.573440270649083;0;0;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True
1385000.0;1280278.5714285714;2021.0;156500;1;0;2;999.0;110.0;4;14.141211419624977;0;0;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True
1490000.0;1383730.0;2017.0;180000;1;1;2;1598.0;120.0;8;14.214287349062356;0;0;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True
900000.0;861580.0;2014.0;273000;1;1;2;1598.0;105.0;8;13.71015115341694;0;1;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True
1185000.0;1383730.0;2016.0;250000;1;1;2;1500.5;113.0;8;13.98525417643287;2;3;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True
610000.0;861580.0;2010.0;375000;2;1;2;1595.0;102.0;8;13.321215875492411;0;0;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True
1473000.0;829838.5428571429;2024.0;6046;1;0;2;1200.0;88.0;4;14.202812374331163;0;0;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True
1100000.0;861580.0;2014.0;197000;1;1;2;1598.0;105.0;8;13.910821646859096;0;0;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True
